x,y
-15.71,-0.00
-15.39,-0.31
-15.08,-0.59
-14.77,-0.81
-14.45,-0.95
-14.14,-1.00
-13.82,-0.95
-13.51,-0.81
-13.19,-0.59
-12.88,-0.31
-12.57,-0.00
-12.25,0.31
-11.94,0.59
-11.62,0.81
-11.31,0.95
-11.00,1.00
-10.68,0.95
-10.37,0.81
-10.05,0.59
-9.74,0.31
-9.42,0.00
-9.11,-0.31
-8.80,-0.59
-8.48,-0.81
-8.17,-0.95
-7.85,-1.00
-7.54,-0.95
-7.23,-0.81
-6.91,-0.59
-6.60,-0.31
-6.28,-0.00
-5.97,0.31
-5.65,0.59
-5.34,0.81
-5.03,0.95
-4.71,1.00
-4.40,0.95
-4.08,0.81
-3.77,0.59
-3.46,0.31
-3.14,0.00
-2.83,-0.31
-2.51,-0.59
-2.20,-0.81
-1.88,-0.95
-1.57,-1.00
-1.26,-0.95
-0.94,-0.81
-0.63,-0.59
-0.31,-0.31
-0.00,-0.00
0.31,0.31
0.63,0.59
0.94,0.81
1.26,0.95
1.57,1.00
1.88,0.95
2.20,0.81
2.51,0.59
2.83,0.31
3.14,0.00
3.46,-0.31
3.77,-0.59
4.08,-0.81
4.40,-0.95
4.71,-1.00
5.03,-0.95
5.34,-0.81
5.65,-0.59
5.97,-0.31
6.28,-0.00
6.60,0.31
6.91,0.59
7.23,0.81
7.54,0.95
7.85,1.00
8.17,0.95
8.48,0.81
8.80,0.59
9.11,0.31
9.42,-0.00
9.74,-0.31
10.05,-0.59
10.37,-0.81
10.68,-0.95
11.00,-1.00
11.31,-0.95
11.62,-0.81
11.94,-0.59
12.25,-0.31
12.57,0.00
12.88,0.31
13.19,0.59
13.51,0.81
13.82,0.95
14.14,1.00
14.45,0.95
14.77,0.81
15.08,0.59
15.39,0.31
15.71,0.00
