x,y
-15.71,0.00
-15.39,0.32
-15.08,0.73
-14.77,1.38
-14.45,3.08
-14.14,209293490829754.81
-13.82,-3.08
-13.51,-1.38
-13.19,-0.73
-12.88,-0.32
-12.57,-0.00
-12.25,0.32
-11.94,0.73
-11.62,1.38
-11.31,3.08
-11.00,118298986202938.92
-10.68,-3.08
-10.37,-1.38
-10.05,-0.73
-9.74,-0.32
-9.42,-0.00
-9.11,0.32
-8.80,0.73
-8.48,1.38
-8.17,3.08
-7.85,147074706347255.91
-7.54,-3.08
-7.23,-1.38
-6.91,-0.73
-6.60,-0.32
-6.28,-0.00
-5.97,0.32
-5.65,0.73
-5.34,1.38
-5.03,3.08
-4.71,234896447433213.47
-4.40,-3.08
-4.08,-1.38
-3.77,-0.73
-3.46,-0.32
-3.14,-0.00
-2.83,0.32
-2.51,0.73
-2.20,1.38
-1.88,3.08
-1.57,328149433243572.50
-1.26,-3.08
-0.94,-1.38
-0.63,-0.73
-0.31,-0.32
-0.00,-0.00
0.31,0.32
0.63,0.73
0.94,1.38
1.26,3.08
1.57,315471663322406.12
1.88,-3.08
2.20,-1.38
2.51,-0.73
2.83,-0.32
3.14,-0.00
3.46,0.32
3.77,0.73
4.08,1.38
4.40,3.08
4.71,510190062007397.19
5.03,-3.08
5.34,-1.38
5.65,-0.73
5.97,-0.32
6.28,-0.00
6.60,0.32
6.91,0.73
7.23,1.38
7.54,3.08
7.85,3266247870639078.50
8.17,-3.08
8.48,-1.38
8.80,-0.73
9.11,-0.32
9.42,0.00
9.74,0.32
10.05,0.73
10.37,1.38
10.68,3.08
11.00,-320093487876740.00
11.31,-3.08
11.62,-1.38
11.94,-0.73
12.25,-0.32
12.57,0.00
12.88,0.32
13.19,0.73
13.51,1.38
13.82,3.08
14.14,243676311067808.28
14.45,-3.08
14.77,-1.38
15.08,-0.73
15.39,-0.32
15.71,-0.00
